"Description"	"Symbole"	"Titre"	"Sous-catégorie"	"Type"	"Acheteur"	"Vendeur"	"Clôture"	"Devise prix"	"RM (%)"	"Rend. éché. - Marché (%)"	"Exclu de la facturation"
"DYN POWER CDN FD D/N"	"DYN703"	"990468"	"Fonds d'actions canadiennes"	"3807150"	"7,460"	"7,460"	"7,460"	"CAD"	"n/d"	""	"Non"
"DYN PREC METAL"	"DYN046C"	"994684"	"Fonds d'actions globales"	"3807670"	"6,370"	"6,370"	"6,370"	"CAD"	"n/d"	""	"Non"
"DYN PW CRS CD/FR/S/N"	"DYN652"	"970319"	"Fonds d'actions canadiennes"	"3807154"	"20,020"	"20,020"	"20,020"	"CAD"	"n/d"	""	"Non"
"DYN PWR CR AM/FR/S/N"	"DYN604"	"970307"	"Fonds d'actions américaines"	"3807250"	"5,270"	"5,270"	"5,270"	"CAD"	"n/d"	""	"Non"
"DYN PWR CRS MDL/FR/N"	"DYN614"	"996384"	"Fonds d'actions globales"	"3807500"	"6,050"	"6,050"	"6,050"	"CAD"	"0,69"	""	"Non"
"DYN PWR SM/CP /N"	"DYN9102"	"998033"	"Autres titres"	"3807153"	"13,660"	"13,660"	"13,660"	"CAD"	"n/d"	""	"Non"
"DYN PWR SM/CP /S/N"	"DYN9402"	"983003"	"Autres titres"	"3807153"	"13,660"	"13,660"	"13,660"	"CAD"	"n/d"	""	"Non"
"DYN QSSP 1999/FR/D/N"	"DYN697"	"970733"	"Fonds d'actions canadiennes"	"3807152"	"6,450"	"6,450"	"6,450"	"CAD"	"n/d"	""	"Non"
"DYN QSSP 2000/FR/D/N"	"DYN698"	"983002"	"Fonds d'actions canadiennes"	"3807152"	"6,450"	"6,450"	"6,450"	"CAD"	"n/d"	""	"Non"
"DYN QSSP 2001/FR/D/N"	"DYN699"	"984880"	"Fonds d'actions canadiennes"	"3807152"	"6,450"	"6,450"	"6,450"	"CAD"	"0,00"	""	"Non"
"DYN QSSP 99 CL-B D/N"	"DYN797"	"970646"	"Fonds d'actions canadiennes"	"3807152"	"6,450"	"6,450"	"6,450"	"CAD"	"n/d"	""	"Non"
"DYN QSSP S-2002/FR/N"	"DYN630"	"971708"	"Fonds d'actions canadiennes"	"3807152"	"6,450"	"6,450"	"6,450"	"CAD"	"n/d"	""	"Non"
"DYN RES FOC+ /FR/S/N"	"DYN690"	"970334"	"Fonds d'actions - ressources canadiennes"	"3807200"	"21,450"	"21,450"	"21,450"	"CAD"	"8,15"	""	"Non"
"DYN RES MDL S/N"	"DYN780"	"994701"	"Fonds d'actions - ressources canadiennes"	"3807200"	"20,840"	"20,840"	"20,840"	"CAD"	"n/d"	""	"Non"
"DYN RESC FOC + S/N"	"DYN790"	"991912"	"Fonds d'actions - ressources canadiennes"	"3807200"	"21,450"	"21,450"	"21,450"	"CAD"	"8,15"	""	"Non"
"DYN REV ACT /S/N"	"DYN729"	"983604"	"Fonds de fiducies de revenus"	"3807710"	"14,520"	"14,520"	"14,520"	"CAD"	"6,82"	""	"Non"
"DYN REV ACT /FR/N"	"DYN629"	"983605"	"Fonds de fiducies de revenus"	"3807710"	"14,520"	"14,520"	"14,520"	"CAD"	"6,82"	""	"Non"
"DYN REV DIV /N"	"DYN206"	"969508"	"Fonds de placement équilibré"	"3807720"	"12,090"	"12,090"	"12,090"	"CAD"	"4,17"	""	"Non"
"DYN REV DIV /S/N"	"DYN316"	"969509"	"Fonds de placement équilibré"	"3807720"	"12,090"	"12,090"	"12,090"	"CAD"	"4,17"	""	"Non"
"DYN TECH /D/N"	"DYN9446"	"987424"	"Fonds d'actions canadiennes"	"3807170"	"9,570"	"9,570"	"9,570"	"CAD"	"n/d"	""	"Non"
"DYN TOUT REV ST PT/N"	"DYN1062"	"940859"	"Fonds de placement équilibré"	"3807720"	"5,210"	"5,210"	"5,210"	"CAD"	"4,80"	""	"Non"
"DYN VAL AME /FR/N"	"DYN641"	"970314"	"Fonds d'actions américaines"	"3807250"	"12,900"	"12,900"	"12,900"	"CAD"	"1,84"	""	"Non"
"DYN VAL DIV /N"	"DYN054"	"994651"	"Fonds d'actions canadiennes"	"3807154"	"9,730"	"9,730"	"9,730"	"CAD"	"2,37"	""	"Non"
"DYN VAL E/ORIENT /N"	"DYN079"	"994697"	"Fonds d'actions - Asie et côte pacifique"	"3807400"	"17,430"	"17,430"	"17,430"	"CAD"	"n/d"	""	"Non"
"DYN VAL EQL /FR/S/N"	"DYN3194"	"940702"	"Fonds de placement équilibré"	"3807550"	"18,190"	"18,190"	"18,190"	"CAD"	"2,31"	""	"Non"
"DYN VAL EURO /S/N"	"DYN055"	"996450"	"Fonds d'actions européennes"	"3807450"	"16,600"	"16,600"	"16,600"	"CAD"	"n/d"	""	"Non"
"DYN VAL MDL /N"	"DYN076"	"994654"	"Fonds d'actions globales"	"3807500"	"15,990"	"15,990"	"15,990"	"CAD"	"n/d"	""	"Non"
"DYN VAL MDL /FR/S/N"	"DYN676"	"970324"	"Fonds d'actions globales"	"3807500"	"15,990"	"15,990"	"15,990"	"CAD"	"n/d"	""	"Non"
"DYN VAL MDL U$ /N"	"DYN413"	"946243"	"Fonds d'actions globales"	"3807500"	"5,520"	"5,520"	"5,520"	"USD"	"0,00"	""	"Non"
"DYN VAL MDL U$ /S/N"	"DYN791"	"981170"	"Fonds d'actions globales"	"3807500"	"15,110"	"15,110"	"15,110"	"USD"	"n/d"	""	"Non"
"DYN VAL OF CDA /FR/N"	"DYN640"	"970313"	"Fonds d'actions canadiennes"	"3807154"	"34,680"	"34,680"	"34,680"	"CAD"	"3,47"	""	"Non"
"DYN WR CNV DB/LL/D/N"	"DYN3161"	"940710"	"Fonds de placement équilibré"	"3807550"	"6,990"	"6,990"	"6,990"	"CAD"	"3,26"	""	"Non"
"DYN WRLD CONVT DEB/N"	"DYN9161"	"986076"	"Fonds de placement équilibré"	"3807550"	"6,990"	"6,990"	"6,990"	"CAD"	"8,57"	""	"Non"
"DYNAMIC EURO VAL /D"	"DYN055C"	"994649"	"Fonds d'actions européennes"	"3807450"	"19,890"	"19,890"	"19,890"	"CAD"	"n/d"	""	"Non"
"DYNAMIC MNY MKT /N"	"DYN045"	"994646"	"Fonds de valeurs du marché monétaire canadien"	"3807850"	"10,000"	"10,000"	"10,000"	"CAD"	"n/d"	""	"Non"
"DYNAMIC MNY MKT D/N"	"DYN745"	"994681"	"Fonds de valeurs du marché monétaire canadien"	"3807850"	"10,000"	"10,000"	"10,000"	"CAD"	"n/d"	""	"Non"
"DYNAMIC PREC MTL /D"	"DYN746C"	"994635"	"Fonds d'actions - ressources canadiennes"	"3807200"	"1,320"	"1,320"	"1,320"	"CAD"	"n/d"	""	"Non"
"DYNAMIC PTNRS FND /D"	"DYN043C"	"994640"	"Fonds de placement en répartition de l'actif"	"3807600"	"7,720"	"7,720"	"7,720"	"CAD"	"n/d"	""	"Non"
"DYNASTY COMPONENTS INC"	""	"239283"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"CAD"	"n/d"	""	"Non"
"DYNEGY INC-A"	"DYN"	"238707"	"Actions ordinaires"	"315"	"1,780"	"1,790"	"1,790"	"USD"	"n/d"	""	"Non"
"DYNETEK INDUSTRIES LTD"	"DNK"	"239869"	"Actions ordinaires"	"330"	"0,365"	"0,385"	"0,365"	"CAD"	"n/d"	""	"Non"
"DYNUL DCAF EQCC/FR/N"	"DYN1831"	"933996"	"Fonds de placement équilibré"	"3807550"	"9,440"	"9,440"	"9,440"	"CAD"	"0,03"	""	"Non"
"DYNUL EQL CC /FR/S/N"	"DYN1821"	"933993"	"Fonds de placement équilibré"	"3807550"	"10,190"	"10,190"	"10,190"	"CAD"	"0,15"	""	"Non"
"DYONIX GREENTREE TECH INC"	""	"239317"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"CAD"	"n/d"	""	"Non"
"E&P EQUITY ADVISOR/N"	"EPL571"	"994731"	"Fonds d'actions canadiennes"	"3807150"	"8,240"	"8,240"	"8,240"	"CAD"	"n/d"	""	"Non"
"E&P RSP US MD CP D/N"	"EPL491"	"970494"	"Fonds d'actions américaines"	"3807255"	"9,060"	"9,060"	"9,060"	"CAD"	"n/d"	""	"Non"
"E*TRADE FINANCIAL CORP"	"ET"	"239414"	"Actions ordinaires"	"315"	"1,660"	"1,670"	"1,660"	"USD"	"n/d"	""	"Non"
"E-L FINANCIAL CORP LTD"	"ELF"	"247601"	"Actions ordinaires"	"330"	"436,000"	"444,000"	"436,000"	"CAD"	"0,11"	""	"Non"
"E-L FINL CP-1ST PFD-1 PER"	"ELF.PR.F"	"248006"	"Actions privilégiées perpétuelles à taux fixe"	"310"	"20,350"	"20,450"	"20,340"	"CAD"	"6,51"	""	"Non"
"E-MANUFACTURING NETWORKS"	""	"239768"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"CAD"	"n/d"	""	"Non"
"E-QUISITIONS INC *"	"EQU"	"239875"	"Actions ordinaires"	"330"	"0,025"	"0,100"	"0,000"	"CAD"	"n/d"	""	"Non"
"E-TEK DYNAMICS INC *"	""	"239467"	"Actions ordinaires"	"330"	"263,812"	"263,812"	"263,812"	"USD"	"n/d"	""	"Non"
"E.ON AG ADR"	"EON"	"239817"	"Actions ordinaires"	"3308000"	"0,000"	"0,000"	"38,150"	"USD"	"5,25"	""	"Non"
"EAGLECREST EXPL LTD *"	"EEL"	"239392"	"Actions ordinaires"	"330"	"0,050"	"0,055"	"0,050"	"CAD"	"n/d"	""	"Non"
"EAST JAPAN RAIL UNSPN ADR"	"EJPRY"	"240154"	"Actions ordinaires"	"3308000"	"0,000"	"0,000"	"11,520"	"USD"	"n/d"	""	"Non"
"EASTMAN CHEMICAL CO"	"EMN"	"241304"	"Actions ordinaires"	"315"	"58,110"	"58,150"	"58,110"	"USD"	"3,03"	""	"Non"
"EASTMAN KODAK CO"	"EK"	"241307"	"Actions ordinaires"	"315"	"4,400"	"4,410"	"4,410"	"USD"	"11,34"	""	"Non"
"EATON CORPORATION"	"ETN"	"245126"	"Actions ordinaires"	"315"	"64,610"	"64,660"	"64,580"	"USD"	"3,10"	""	"Non"
"EBAY INC"	"EBAY"	"245237"	"Actions ordinaires"	"315"	"23,690"	"23,700"	"23,690"	"USD"	"n/d"	""	"Non"
"EBOULEMENTS BM 4% 4FV10"	""	"Q29053"	"Obligations municipales & para-gouvernementales"	"2601411"	"100,029"	"100,029"	"100,029"	"CAD"	"4,00"	"2,877542"	"Non"
"EBOULEMENTS BM 4% 4FV11"	""	"Q29054"	"Obligations municipales & para-gouvernementales"	"2601411"	"101,456"	"101,456"	"101,456"	"CAD"	"3,94"	"2,554163"	"Non"
"ECONOMIC INVESTMENT TRUST"	"EVT"	"245415"	"Actions ordinaires"	"3308005"	"60,000"	"63,000"	"60,000"	"CAD"	"1,00"	""	"Non"
"ECTEL LTD *"	"ECTX"	"239566"	"Actions ordinaires"	"330"	"1,250"	"1,260"	"1,260"	"USD"	"n/d"	""	"Non"
"EDC 5.8% 3DC12"	""	"A27323"	"Obligations du gouvernement du Canada"	"2601155"	"110,532"	"110,532"	"110,532"	"CAD"	"5,25"	"1,985367"	"Non"
"EDC CB S/U U$4.25% 3JN13"	""	"A27404"	"Obligations (autres)"	"2601155"	"99,720"	"99,720"	"99,720"	"USD"	"4,26"	"4,339075"	"Non"
"EDC CB-02 SU 5.65%16NV11S"	""	"A27021"	"Obligations (autres)"	"2601155"	"99,000"	"99,000"	"99,000"	"USD"	"5,71"	"6,237767"	"Non"
"EDC CB-03 S/U 4.5% 4MY13"	""	"A27388"	"Obligations (autres)"	"2601155"	"100,000"	"100,000"	"100,000"	"CAD"	"4,50"	"4,497943"	"Non"
"EDC CB-03 S/U 5% 11AG12*"	""	"A27293"	"Obligations (autres)"	"2601155"	"0,000"	"0,000"	"0,000"	"CAD"	"n/d"	"n/d"	"Non"
"EDC U$ CB TP4.25% 30DC13M"	""	"A27484"	"Obligations (autres)"	"2601155"	"100,000"	"100,000"	"100,000"	"USD"	"4,25"	"4,249977"	"Non"
"EDGEWATER TECHNOLOGY INC"	"EDGW"	"245894"	"Actions ordinaires"	"330"	"2,880"	"2,940"	"2,940"	"USD"	"n/d"	""	"Non"
"EDISON INTERNATIONAL"	"EIX"	"246427"	"Actions ordinaires"	"315"	"34,070"	"34,090"	"34,100"	"USD"	"3,70"	""	"Non"
"EDISPATCH.COM WIRELS DAT*"	""	"246434"	"Actions ordinaires"	"330"	"0,280"	"0,320"	"0,260"	"CAD"	"n/d"	""	"Non"
"EDPER GROUP LTD CL-A *"	""	"246850"	"Actions ordinaires"	"330"	"23,000"	"23,000"	"0,000"	"CAD"	"1,30"	""	"Non"
"EGI CANADA CORP"	"EGI"	"247421"	"Actions ordinaires"	"330"	"24,650"	"24,930"	"0,000"	"CAD"	"n/d"	""	"Non"
"EGI FINANCIAL HOLDINGS"	"EFH"	"247426"	"Actions ordinaires"	"330"	"11,100"	"11,550"	"11,540"	"CAD"	"n/d"	""	"Non"
"EISAI CO LTD SPON ADR"	"ESALY"	"247563"	"Actions ordinaires"	"3308000"	"0,000"	"0,000"	"36,980"	"USD"	"4,23"	""	"Non"
"EL PASO CORPORATION"	"EP"	"247736"	"Actions ordinaires"	"315"	"10,950"	"10,960"	"10,950"	"USD"	"0,37"	""	"Non"
"ELAN CORP-PLC-ADR"	"ELN"	"247733"	"Actions ordinaires"	"3158000"	"7,770"	"7,790"	"7,770"	"USD"	"n/d"	""	"Non"
"ELBIT SYSTEMS LTD ORD"	"ESLT"	"247741"	"Actions ordinaires"	"315"	"63,510"	"63,990"	"64,020"	"USD"	"2,25"	""	"Non"
"ELDORADO GOLD CRP"	"ELD"	"247850"	"Actions ordinaires"	"315"	"13,660"	"13,720"	"13,670"	"CAD"	"n/d"	""	"Non"
