"Description"	"Symbole"	"Titre"	"Sous-catégorie"	"Type"	"Acheteur"	"Vendeur"	"Clôture"	"Devise prix"	"RM (%)"	"Rend. éché. - Marché (%)"	"Exclu de la facturation"
"GEORGE WEST 5.05% 10MR14"	""	"X46813"	"Obligations corporatives"	"2606000"	"106,822"	"106,822"	"106,822"	"CAD"	"4,73"	"3,266434"	"Non"
"GEORGE WESTON LTD"	"WN"	"732081"	"Actions ordinaires"	"315"	"69,330"	"69,650"	"69,570"	"CAD"	"2,07"	""	"Non"
"GEOSTAR METALS INC *"	"GOS"	"283112"	"Actions ordinaires"	"330"	"1,440"	"1,450"	"1,440"	"CAD"	"n/d"	""	"Non"
"GERDAU AMERISTEEL CORP"	"GNA"	"283360"	"Actions ordinaires"	"315"	"8,520"	"8,540"	"8,520"	"CAD"	"0,99"	""	"Non"
"GERDAU SA-SPON ADR"	"GGB"	"283357"	"Actions ordinaires"	"3158000"	"14,240"	"14,260"	"14,260"	"USD"	"n/d"	""	"Non"
"GERON CORP"	"GERN"	"283479"	"Actions ordinaires"	"315"	"5,710"	"5,720"	"5,710"	"USD"	"n/d"	""	"Non"
"GES SAUVE/BISSON CAN"	""	"761204"	"Fonds d'actions canadiennes"	"3807150"	"0,000"	"0,000"	"0,000"	"CAD"	"n/d"	""	"Non"
"GES SAUVE/BISSON ETR"	""	"761205"	"Fonds d'actions internationales"	"3807300"	"0,000"	"0,000"	"0,000"	"CAD"	"n/d"	""	"Non"
"GEST PORT ACT US"	""	"761181"	"Fonds d'actions américaines"	"3807250"	"0,000"	"0,000"	"0,000"	"CAD"	"n/d"	""	"Non"
"GEST PORT ACT. CAN."	""	"761164"	"Fonds d'actions canadiennes"	"3807150"	"0,000"	"0,000"	"0,000"	"CAD"	"n/d"	""	"Non"
"GEST PORT ACTION.CAN"	""	"761163"	"Fonds d'actions canadiennes"	"3807150"	"0,000"	"0,000"	"0,000"	"CAD"	"n/d"	""	"Non"
"GEST PORT AMERICAIN"	""	"761179"	"Fonds d'actions américaines"	"3807250"	"0,000"	"0,000"	"0,000"	"CAD"	"n/d"	""	"Non"
"GEST PORT INTL"	""	"761180"	"Fonds d'actions internationales"	"3807300"	"0,000"	"0,000"	"0,000"	"CAD"	"n/d"	""	"Non"
"GEST PORT MONDIAL"	""	"761178"	"Fonds d'actions internationales"	"3807300"	"0,000"	"0,000"	"0,000"	"CAD"	"n/d"	""	"Non"
"GEST PORT OBL TX CAP"	""	"761222"	"Fonds d'obligations canadiennes et fonds à revenu"	"3807700"	"0,000"	"0,000"	"0,000"	"CAD"	"n/d"	""	"Non"
"GEST PORT OBLIG.(G)"	""	"761185"	"Fonds d'obligations canadiennes et fonds à revenu"	"3807700"	"0,000"	"0,000"	"0,000"	"CAD"	"n/d"	""	"Non"
"GEST PORT OBLIGATION"	""	"760975"	"Fonds d'obligations canadiennes et fonds à revenu"	"3807700"	"0,000"	"0,000"	"0,000"	"CAD"	"n/d"	""	"Non"
"GEST SAUVE/BISSON RF"	""	"761242"	"Fonds d'obligations canadiennes et fonds à revenu"	"3807700"	"0,000"	"0,000"	"0,000"	"CAD"	"n/d"	""	"Non"
"GETTY COPPER CORP *"	"GTY"	"283605"	"Actions ordinaires"	"330"	"0,140"	"0,160"	"0,000"	"CAD"	"n/d"	""	"Non"
"GG"	""	"9~0004"	"Fonds Billets Indexés"	"MAN"	"0,000"	"0,000"	"0,000"	"CAD"	"n/d"	""	"Non"
"GGOF CROIS MDL S/N"	"GGF186"	"995556"	"Fonds d'actions globales"	"3807500"	"5,840"	"5,840"	"5,840"	"CAD"	"n/d"	""	"Non"
"GGOF RSP GLB GRW/D/N"	"GGF203"	"970785"	"Fonds d'actions globales"	"3807500"	"4,520"	"4,520"	"4,520"	"CAD"	"n/d"	""	"Non"
"GGOF SAN SCI GLB D/N"	"GGF208"	"987335"	"Fonds d'actions globales"	"3807630"	"4,220"	"4,220"	"4,220"	"CAD"	"n/d"	""	"Non"
"GI FD ACT EUR C /S/N"	"IGI021"	"995873"	"Fonds d'actions européennes"	"3807450"	"10,599"	"10,599"	"10,599"	"CAD"	"1,60"	""	"Non"
"GI FD ACT JAP C /S/N"	"IGI003"	"995976"	"Fonds d'actions - Asie et côte pacifique"	"3807410"	"6,144"	"6,144"	"6,144"	"CAD"	"n/d"	""	"Non"
"GI FD ACT NA C /S/N"	"IGI004"	"995970"	"Fonds d'actions nord-américaines"	"3807350"	"19,011"	"19,011"	"19,011"	"CAD"	"0,80"	""	"Non"
"GI FD REP TAC C /S/N"	"IGI024"	"996008"	"Fonds de placement équilibré"	"3807520"	"5,738"	"5,738"	"5,738"	"CAD"	"13,04"	""	"Non"
"GI FDDIVIDEND C /S/N"	"IGI008"	"995949"	"Fonds d'actions canadiennes"	"3807155"	"19,980"	"19,980"	"19,980"	"CAD"	"3,83"	""	"Non"
"GI FDMUTUELCAN C/S/N"	"IGI002"	"995887"	"Fonds d'actions canadiennes"	"3807155"	"17,123"	"17,123"	"17,123"	"CAD"	"1,77"	""	"Non"
"GI FDVALGCEU C S/N"	"IGI006"	"995931"	"Fonds d'actions américaines"	"3807250"	"47,473"	"47,473"	"47,473"	"CAD"	"n/d"	""	"Non"
"GI POCROISS C /S/N"	"IGI016"	"995968"	"Fonds d'actions globales"	"3807500"	"9,775"	"9,775"	"9,775"	"CAD"	"9,35"	""	"Non"
"GIENOW WIND&DOOR INCM T/*"	"GIF.UN"	"284841"	"Fiducies de redevances"	"3308001"	"4,190"	"4,200"	"4,190"	"CAD"	"0,00"	""	"Non"
"GILDAN ACTIVEWEAR INC"	"GIL"	"284950"	"Actions ordinaires"	"315"	"23,000"	"23,490"	"23,340"	"CAD"	"n/d"	""	"Non"
"GILEAD SCIENCES INC"	"GILD"	"284965"	"Actions ordinaires"	"315"	"45,730"	"45,750"	"45,710"	"USD"	"n/d"	""	"Non"
"GILLETTE CO *"	"G"	"285205"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"USD"	"n/d"	""	"Non"
"GKN PLC SPONS ADR"	"GKNLY"	"272311"	"Actions ordinaires"	"3308000"	"0,000"	"0,000"	"1,880"	"USD"	"57,13"	""	"Non"
"GLATFELTER"	"GLT"	"285783"	"Actions ordinaires"	"315"	"13,360"	"13,370"	"13,350"	"USD"	"2,70"	""	"Non"
"GLAXO HLDGS PLC SPD-ADR *"	""	"285790"	"Actions ordinaires"	"3308000"	"0,000"	"0,000"	"0,000"	"USD"	"n/d"	""	"Non"
"GLAXO SMITHKLINE-PLC-ADR"	"GSK"	"285791"	"Actions ordinaires"	"3158000"	"40,420"	"40,430"	"40,450"	"USD"	"4,85"	""	"Non"
"GLAXOSMITHKLINE PLC 25P"	"GLAXF"	"285796"	"Actions ordinaires"	"330"	"21,196"	"21,196"	"21,196"	"CAD"	"n/d"	""	"Non"
"GLB ST DV JPN+-A/D/N"	"AGF418"	"995377"	"Fonds d'actions - Asie et côte pacifique"	"3807400"	"2,870"	"2,870"	"2,870"	"CAD"	"n/d"	""	"Non"
"GLB ST DV SH TRM-X"	"GSF587"	"995508"	"Fonds d'investissement"	"380"	"9,970"	"9,970"	"9,970"	"CAD"	"n/d"	""	"Non"
"GLB ST EU PL RSP/D/N"	"AGF424"	"995496"	"Fonds d'actions européennes"	"3807450"	"13,660"	"13,660"	"13,660"	"CAD"	"n/d"	""	"Non"
"GLB ST EURO PL-A/D/N"	"AGF110"	"995536"	"Fonds d'actions européennes"	"3807450"	"13,140"	"13,140"	"13,140"	"CAD"	"n/d"	""	"Non"
"GLB ST INCM PL-A /D"	"AGF388C"	"995489"	"Fonds de placement équilibré"	"3807550"	"21,660"	"21,660"	"21,660"	"CAD"	"n/d"	""	"Non"
"GLB ST WLD BND RSP/D"	"GSF572C"	"995515"	"Fonds d'obligations internationales et fonds à revenu"	"3807750"	"9,790"	"9,790"	"9,790"	"CAD"	"n/d"	""	"Non"
"GLB ST WRLD BND-A /D"	"GSF565C"	"995533"	"Fonds d'obligations internationales et fonds à revenu"	"3807750"	"10,620"	"10,620"	"10,620"	"CAD"	"n/d"	""	"Non"
"GLB STG CDN CO A*D/N"	"AGF102"	"979477"	"Fonds d'actions canadiennes"	"3807150"	"11,620"	"11,620"	"11,620"	"CAD"	"n/d"	""	"Non"
"GLB STG GLD PLUS-A/D"	"GSF334C"	"995415"	"Fonds d'actions - ressources canadiennes"	"3807200"	"3,860"	"3,860"	"3,860"	"CAD"	"n/d"	""	"Non"
"GLB STG GW & INC*D/N"	"AGF104"	"971422"	"Fonds de placement équilibré"	"3807550"	"16,180"	"16,180"	"16,180"	"CAD"	"n/d"	""	"Non"
"GLB STG MNY MKT-A /D"	"GSF585C"	"995477"	"Fonds de valeurs du marché monétaire canadien"	"3807850"	"1,000"	"1,000"	"1,000"	"CAD"	"n/d"	""	"Non"
"GLB STGY INCM+ A /N"	"AGF887"	"994231"	"Fonds de placement équilibré"	"3807550"	"20,310"	"20,310"	"20,310"	"CAD"	"0,00"	""	"Non"
"GLB STGY INCM+ A/D/N"	"AGF388"	"995487"	"Fonds de placement équilibré"	"3807550"	"20,310"	"20,310"	"20,310"	"CAD"	"0,00"	""	"Non"
"GLB STGY M/M-A D/N"	"AGF585"	"995468"	"Fonds de valeurs du marché monétaire canadien"	"3807850"	"1,000"	"1,000"	"1,000"	"CAD"	"n/d"	""	"Non"
"GLB STR EURO PL-A /S"	"AGF110C"	"995529"	"Fonds d'actions européennes"	"3807450"	"13,140"	"13,140"	"13,140"	"CAD"	"n/d"	""	"Non"
"GLBL STGY DVF BD FD-AC/UN"	""	"287616"	"Fonds d'investissement"	"380"	"11,770"	"11,770"	"11,770"	"CAD"	"n/d"	""	"Non"
"GLENAYRE TECHNOLGIES INC*"	"GEMS"	"285975"	"Actions ordinaires"	"330"	"2,090"	"2,110"	"2,110"	"USD"	"n/d"	""	"Non"
"GLENDALE INTL CORP"	"GIN"	"286372"	"Actions ordinaires"	"330"	"0,400"	"0,690"	"0,400"	"CAD"	"25,00"	""	"Non"
"GLG LIFE TECH CORP-NEW"	"GLG"	"285582"	"Actions ordinaires"	"330"	"8,000"	"8,040"	"8,000"	"CAD"	"n/d"	""	"Non"
"GLOBAL BANKS PREM INC T/U"	"GBP.UN"	"288160"	"Fonds à capitalisation fermée: Actions"	"3308001"	"3,850"	"3,880"	"3,850"	"CAD"	"18,18"	""	"Non"
"GLOBAL CROSSING LTD NTI *"	""	"287216"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"USD"	"n/d"	""	"Non"
"GLOBAL DEV RESOURCES INC"	"GDV.U"	"288218"	"Actions ordinaires"	"330"	"0,030"	"0,055"	"0,030"	"USD"	"n/d"	""	"Non"
"GLOBAL DIGIT II S05-1 T/U"	"GII.UN"	"288193"	"Autres titres"	"3308001"	"1,340"	"1,350"	"1,340"	"CAD"	"31,34"	""	"Non"
"GLOBAL DIGIT SR2004-1 T/U"	"DG.UN"	"288004"	"Autres titres"	"3308001"	"3,410"	"3,600"	"3,410"	"CAD"	"7,04"	""	"Non"
"GLOBAL PLUS INCOME P/F *"	"GIP.UN"	"287365"	"Fiducies de redevances"	"3308001"	"5,320"	"5,530"	"5,320"	"CAD"	"15,04"	""	"Non"
"GLOBAL PREF SECS T/U *"	"GPT.UN"	"287996"	"Fiducies de redevances"	"3308001"	"8,170"	"8,500"	"8,170"	"CAD"	"0,00"	""	"Non"
"GLOBAL STONE CORPORATION"	""	"287348"	"Actions ordinaires"	"330"	"7,750"	"7,750"	"0,000"	"CAD"	"n/d"	""	"Non"
"GLOBAL TELECM SPLIT SH P*"	"GT.PR.A"	"287735"	"Actions privilégiées structurées"	"3108005"	"12,100"	"12,340"	"12,100"	"CAD"	"6,82"	""	"Non"
"GLOBALMEDIA.COM *"	"GLMC"	"287810"	"Actions ordinaires"	"330"	"0,002"	"0,003"	"0,003"	"USD"	"n/d"	""	"Non"
"GLOBALSANTAFE CORP *"	"GSF"	"287662"	"Actions ordinaires"	"315"	"86,820"	"87,420"	"86,830"	"USD"	"1,04"	""	"Non"
"GLOBALSTAR TELECOMM LTD"	"GSTRF"	"287419"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"USD"	"n/d"	""	"Non"
"GLOBEL DIRECT INC"	"GBD"	"287413"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"CAD"	"n/d"	""	"Non"
"GLOBESTAR MINING CORP"	"GMI"	"287929"	"Actions ordinaires"	"330"	"1,120"	"1,140"	"1,140"	"CAD"	"n/d"	""	"Non"
"GLV INC CL-A SUB VTG"	"GLV.A"	"278456"	"Actions ordinaires"	"330"	"8,980"	"9,150"	"9,100"	"CAD"	"n/d"	""	"Non"
"GMAC BMT 5.8% 1FV10"	""	"T64561"	"Obligations corporatives"	"2606000"	"99,887"	"99,887"	"99,887"	"CAD"	"5,81"	"11,434507"	"Non"
"GMP CAP INC"	"GMP"	"278473"	"Actions ordinaires"	"330"	"12,350"	"12,450"	"12,400"	"CAD"	"1,61"	""	"Non"
"GOLCONDA RESOURCES LTD"	"GA"	"287980"	"Actions ordinaires"	"330"	"0,065"	"0,080"	"0,065"	"CAD"	"n/d"	""	"Non"
"GOLD FIELDS LTD-SP ADR"	"GFI"	"288372"	"Actions ordinaires"	"3158000"	"12,390"	"12,400"	"12,390"	"USD"	"1,65"	""	"Non"
"GOLD NCI-ROYAL BANK-OZS"	""	"754693"	"Matières premières"	"345"	"1 090,500"	"1 090,500"	"1 090,500"	"USD"	"n/d"	""	"Non"
"GOLD PARTICIPATN&INCM T/U"	"GPF.UN"	"288424"	"Fiducies de redevances"	"3308001"	"10,900"	"11,200"	"10,900"	"CAD"	"7,34"	""	"Non"
"GOLD RESERVE INC CL-A-"	"GRZ"	"290637"	"Actions ordinaires"	"330"	"1,270"	"1,440"	"1,280"	"CAD"	"n/d"	""	"Non"
"GOLD-ROYAL BANK-OZS"	""	"754470"	"Contrats à terme"	"600"	"575,100"	"575,100"	"575,100"	"USD"	"n/d"	""	"Non"
"GOLDCORP INC"	"G"	"288308"	"Actions ordinaires"	"315"	"38,260"	"38,280"	"38,260"	"CAD"	"0,50"	""	"Non"
"GOLDEN ARROW RES CORP"	"GRG"	"288432"	"Actions ordinaires"	"330"	"0,405"	"0,430"	"0,425"	"CAD"	"n/d"	""	"Non"
"GOLDEN BAND RES INC"	"GBN"	"288498"	"Actions ordinaires"	"330"	"0,250"	"0,260"	"0,250"	"CAD"	"n/d"	""	"Non"
"GOLDEN CRED 5.106% 15AV11"	""	"T64712"	"Obligations (autres)"	"2606000"	"104,718"	"104,718"	"104,718"	"CAD"	"4,88"	"1,196678"	"Non"
"GOLDEN GOOSE RES INC"	"GGR"	"288816"	"Actions ordinaires"	"330"	"0,350"	"0,390"	"0,340"	"CAD"	"n/d"	""	"Non"
"GOLDEN TELECOM INC *"	"GLDN"	"289386"	"Actions ordinaires"	"330"	"105,000"	"105,010"	"105,020"	"USD"	"0,76"	""	"Non"
"GOLDEX MINES LIMITED *"	""	"289454"	"Actions ordinaires"	"330"	"0,000"	"8,000"	"0,000"	"CAD"	"n/d"	""	"Non"
"GOLDMAN SACH C$5.25%1JN16"	""	"T65160"	"Obligations corporatives"	"2606000"	"102,930"	"102,930"	"102,930"	"CAD"	"5,10"	"4,709519"	"Non"
"GOLDMAN SACHS GROUP INC"	"GS"	"220020"	"Actions ordinaires"	"315"	"154,990"	"155,010"	"154,980"	"USD"	"0,90"	""	"Non"
"GOLDRUSH RESOURCES LTD"	"GOD"	"290653"	"Actions ordinaires"	"330"	"0,105"	"0,115"	"0,105"	"CAD"	"n/d"	""	"Non"
"GOLDSTAKE EXPLORATIONS IN"	"GXP"	"288411"	"Actions ordinaires"	"330"	"0,025"	"0,030"	"0,030"	"CAD"	"n/d"	""	"Non"
"GOLDTRUST FND"	"CSA330C"	"995430"	"Fonds de placement spéciaux"	"3807950"	"3,550"	"3,550"	"0,000"	"CAD"	"n/d"	""	"Non"
"GOODRICH CORP"	"GR"	"290957"	"Actions ordinaires"	"315"	"61,140"	"61,150"	"61,140"	"USD"	"1,77"	""	"Non"
"GOODYEAR TRE&RUBBR US"	"GT"	"291872"	"Actions ordinaires"	"315"	"13,210"	"13,220"	"13,220"	"USD"	"n/d"	""	"Non"
"GOOGLE INC CL-A"	"GOOG"	"291420"	"Actions ordinaires"	"315"	"539,290"	"540,260"	"540,000"	"USD"	"n/d"	""	"Non"
"GOVERNMENT STRIP BOND T/U"	"GSB.UN"	"292736"	"Fonds à capitalisation fermée: Obligations"	"3308001"	"24,300"	"24,600"	"24,300"	"CAD"	"n/d"	""	"Non"
"GP-MC"	""	"760931"	"Fonds d'actions canadiennes"	"3807150"	"0,000"	"0,000"	"0,000"	"CAD"	"n/d"	""	"Non"
"GP2"	""	"I~000F"	"Indices réf. panier"	"REAL/RÉE"	"0,000"	"0,000"	"0,000"	"CAD"	"n/d"	""	"Non"
"GPRF-INST2"	""	"762870"	"Fonds d'obligations canadiennes et fonds à revenu"	"3807700"	"0,000"	"0,000"	"0,000"	"CAD"	"n/d"	""	"Non"
"GR BQ NATIONALE PR-1-B"	""	"459931"	"Actions privilégiées"	"310"	"8,000"	"8,000"	"8,000"	"CAD"	"n/d"	""	"Non"
"GR BQ NATIONALE PR-2-B"	""	"459932"	"Actions privilégiées"	"310"	"0,800"	"0,800"	"0,800"	"CAD"	"n/d"	""	"Non"
"GR BQ NATIONALE PR-3-B"	""	"459933"	"Actions privilégiées"	"310"	"0,800"	"0,800"	"0,800"	"CAD"	"n/d"	""	"Non"
"GR BQ NATIONALE PR-4-B"	""	"459934"	"Actions privilégiées"	"310"	"0,800"	"0,800"	"0,800"	"CAD"	"n/d"	""	"Non"
"GR BQ NATIONALE PR-5-B"	""	"459935"	"Actions privilégiées"	"310"	"1,000"	"1,000"	"1,000"	"CAD"	"n/d"	""	"Non"
"GRAFFOTO INDUSTRIES CORP"	""	"292770"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"CAD"	"n/d"	""	"Non"
"GRANBY ICS 4.1% 27DC11"	""	"Q25936"	"Obligations municipales & para-gouvernementales"	"2601411"	"103,906"	"103,906"	"103,906"	"CAD"	"3,95"	"2,015396"	"Non"
"GRANBY ICS 5.05% 23DC18"	""	"Q25961"	"Obligations municipales & para-gouvernementales"	"2601411"	"103,948"	"103,948"	"103,948"	"CAD"	"4,86"	"4,506493"	"Non"
"GRANDE CACHE COAL CORP"	"GCE"	"295124"	"Actions ordinaires"	"330"	"5,800"	"5,830"	"5,820"	"CAD"	"n/d"	""	"Non"
"GRANITE CONSTRUCTION INC"	"GVA"	"295556"	"Actions ordinaires"	"315"	"32,800"	"32,820"	"32,790"	"USD"	"1,59"	""	"Non"
"GRANITE TOURISM CP-PRT VT"	""	"295780"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"USD"	"n/d"	""	"Non"
"GREAT BASIN GOLD LTD"	"GBG"	"296680"	"Actions ordinaires"	"330"	"1,810"	"1,830"	"1,830"	"CAD"	"n/d"	""	"Non"
"GREAT CDN GAMING CORP"	"GC"	"297204"	"Actions ordinaires"	"330"	"7,960"	"8,140"	"8,010"	"CAD"	"n/d"	""	"Non"
"GREAT LAKES CHEMICALS *"	"GLK"	"297457"	"Actions ordinaires"	"315"	"32,780"	"32,830"	"32,790"	"USD"	"1,22"	""	"Non"
"GREAT LAKES CRBN IN FD T*"	"GLC.UN"	"297408"	"Fiducies de redevances"	"3308001"	"13,990"	"14,000"	"14,000"	"CAD"	"0,00"	""	"Non"
"GREAT LKS HYDR INC FD P/*"	"GLH.UN"	"297623"	"Fiducies de redevances"	"3308001"	"17,550"	"17,600"	"17,550"	"CAD"	"7,12"	""	"Non"
"GREAT PACIFIC ENTRP INC"	"GPN"	"300145"	"Actions ordinaires"	"330"	"79,000"	"79,000"	"79,000"	"CAD"	"n/d"	""	"Non"
"GREAT PANTHER RES LTD *"	"GPR"	"300159"	"Actions ordinaires"	"330"	"1,030"	"1,040"	"1,010"	"CAD"	"n/d"	""	"Non"
"GREAT PLAINS ENERGY INC"	"GXP"	"300219"	"Actions ordinaires"	"315"	"18,300"	"18,310"	"18,310"	"USD"	"4,53"	""	"Non"
"GREAT WEST LF N CUM PFD D"	"GWO.PR.E"	"301773"	"Actions privilégiées rachetables"	"310"	"25,800"	"25,850"	"25,650"	"CAD"	"4,58"	""	"Non"
"GREAT WEST LIFECO INC"	"GWO"	"301765"	"Actions ordinaires"	"315"	"25,690"	"25,800"	"25,710"	"CAD"	"4,78"	""	"Non"
"GREAT-WEST LF-J 6% 1ST PF"	"GWO.PR.J"	"301818"	"Actions privilégiées"	"310"	"27,850"	"27,960"	"27,890"	"CAD"	"5,38"	""	"Non"
"GREAT-WEST LIFE-E 1ST PF*"	"GWO.PR.X"	"301781"	"Actions privilégiées rachetables"	"310"	"25,960"	"26,010"	"25,980"	"CAD"	"4,62"	""	"Non"
"GREAT-WEST LIFE-H 1ST PFD"	"GWO.PR.H"	"301783"	"Actions privilégiées perpétuelles à taux fixe"	"310"	"20,750"	"20,960"	"20,950"	"CAD"	"5,79"	""	"Non"
"GREAT-WEST LIFE-L 1ST PFD"	"GWO.PR.L"	"301800"	"Actions privilégiées"	"310"	"23,820"	"23,840"	"23,840"	"CAD"	"5,84"	""	"Non"
"GREAT-WEST LIFEC1PF-F"	"GWO.PR.F"	"301803"	"Actions privilégiées perpétuelles à taux fixe"	"310"	"24,900"	"24,940"	"24,820"	"CAD"	"5,94"	""	"Non"
"GREAT-WEST LIFECO 1PFD-G"	"GWO.PR.G"	"301807"	"Actions privilégiées perpétuelles à taux fixe"	"310"	"22,210"	"22,380"	"22,380"	"CAD"	"5,81"	""	"Non"
"GREAT-WEST-I 4.5% 1ST PFD"	"GWO.PR.I"	"301784"	"Actions privilégiées perpétuelles à taux fixe"	"310"	"19,370"	"19,490"	"19,370"	"CAD"	"5,81"	""	"Non"
"GREENHOPE RESOURCES INC *"	""	"304444"	"Actions ordinaires"	"330"	"1,000"	"1,000"	"1,000"	"CAD"	"n/d"	""	"Non"
"GREENSTONE RES LTD"	"GRERF"	"304640"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"USD"	"n/d"	""	"Non"
"GREENWOOD ENVIRONMENTAL"	""	"304770"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"CAD"	"n/d"	""	"Non"
"GREYHOUND CDA TRANSPORT"	""	"305051"	"Actions ordinaires"	"330"	"5,500"	"5,500"	"0,000"	"CAD"	"1,09"	""	"Non"
"GREYHOUND LINES OF CDA *"	""	"305219"	"Actions ordinaires"	"330"	"5,500"	"5,500"	"0,000"	"CAD"	"12,73"	""	"Non"
"GREYSTAR RESOURCES LT"	"GSL"	"305468"	"Actions ordinaires"	"330"	"5,080"	"5,200"	"5,080"	"CAD"	"n/d"	""	"Non"
"GRILLI PPTY GRP INC CL-B*"	""	"305760"	"Actions ordinaires"	"330"	"0,950"	"1,350"	"0,000"	"CAD"	"n/d"	""	"Non"
"GRIST MILL CO *"	""	"305767"	"Actions ordinaires"	"330"	"0,250"	"0,250"	"0,000"	"USD"	"n/d"	""	"Non"
"GROUPE ADF INC SV"	"DRX"	"005424"	"Actions ordinaires"	"330"	"2,570"	"2,600"	"2,600"	"CAD"	"n/d"	""	"Non"
"GROUPE AEROPLAN INC"	"AER"	"306250"	"Actions ordinaires"	"315"	"11,270"	"11,390"	"11,290"	"CAD"	"4,43"	""	"Non"
"GROUPE AEROPLAN SR-1 PFD"	"AER.PR.A"	"306255"	"Actions privilégiées"	"310"	"24,950"	"25,000"	"25,000"	"CAD"	"0,00"	""	"Non"
"GROUPE BIKINI VILLAGE INC"	"GBV"	"306280"	"Actions ordinaires"	"330"	"0,040"	"0,045"	"0,040"	"CAD"	"n/d"	""	"Non"
"GROUPE BOCENOR INC NEW *"	"GBO"	"306279"	"Actions ordinaires"	"330"	"0,280"	"0,380"	"0,280"	"CAD"	"n/d"	""	"Non"
"GROUPE CONSEIL OMNITECH"	"GCO"	"514754"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"CAD"	"n/d"	""	"Non"
"GROUPE D'ALIMENTATION MTY"	"MTY"	"456800"	"Actions ordinaires"	"330"	"9,150"	"9,200"	"9,200"	"CAD"	"n/d"	""	"Non"
"GROUPE LAPERR&VERRE-A SV*"	"GLV.A"	"386301"	"Actions ordinaires"	"330"	"0,000"	"8,750"	"0,000"	"CAD"	"1,14"	""	"Non"
"GROUPE PLASTIQUE MODERNE"	""	"306404"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"CAD"	"n/d"	""	"Non"
"GROUPE SOFICORP INC"	""	"306408"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"CAD"	"n/d"	""	"Non"
"GROUPE TMX INC"	"X"	"652912"	"Actions ordinaires"	"315"	"31,260"	"31,340"	"31,260"	"CAD"	"4,86"	""	"Non"
"GROUPE TOLGECO INC CL-A"	""	"306402"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"CAD"	"n/d"	""	"Non"
"GROWTH"	""	"843977"	"Fonds d'obligations canadiennes et fonds à revenu"	"3807700"	"0,000"	"0,000"	"0,000"	"CAD"	"n/d"	""	"Non"
"GROWTH FUND SPAIN INC"	""	"306627"	"Fonds d'actions internationales"	"3807300"	"23,140"	"23,140"	"0,000"	"USD"	"0,58"	""	"Non"
"GRP INTERTAPE POLYMER INC"	"ITP"	"351814"	"Actions ordinaires"	"330"	"2,440"	"2,460"	"2,460"	"CAD"	"6,50"	""	"Non"
"GRPE HARRICANA INC SVS-A*"	""	"306372"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"CAD"	"n/d"	""	"Non"
"GRPE TRNSCONTL GTC LTE-B*"	""	"306407"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"CAD"	"n/d"	""	"Non"
"GRT TOR AIR 6.47% 2FV34"	""	"E39758"	"Obligations municipales & para-gouvernementales"	"2606000"	"111,672"	"111,672"	"111,672"	"CAD"	"5,79"	"5,581681"	"Non"
"GRT TOR AIR 7.05% 12JN30"	""	"T73002"	"Obligations corporatives"	"2606000"	"117,728"	"117,728"	"117,728"	"CAD"	"5,99"	"5,581861"	"Non"
"GRT TOR AIR-CB 6.45%3DC27"	""	"E39745"	"Obligations corporatives"	"2606000"	"109,724"	"109,724"	"109,724"	"CAD"	"5,88"	"5,581842"	"Non"
"GRT WEST LIFE 6.67%21MR33"	""	"T67850"	"Obligations corporatives"	"2606000"	"111,523"	"111,523"	"111,523"	"CAD"	"5,98"	"5,761660"	"Non"
"GRT.ATLANTIC-PACIFIC TEA"	"GAP"	"296558"	"Actions ordinaires"	"315"	"8,340"	"8,350"	"8,350"	"USD"	"347,31"	""	"Non"
"GRTR TOR AIR 6.98%15OC32S"	""	"E39755"	"Obligations municipales & para-gouvernementales"	"2606000"	"117,867"	"117,867"	"117,867"	"CAD"	"5,92"	"5,581760"	"Non"
"GRUPO TELEVISA SA DE GLB"	"TV"	"306923"	"Actions ordinaires"	"315"	"19,770"	"19,780"	"19,800"	"USD"	"5,27"	""	"Non"
"GSI COMMERCE INC"	"GSIC"	"306784"	"Actions ordinaires"	"315"	"23,400"	"23,410"	"23,410"	"USD"	"n/d"	""	"Non"
"GSI GROUP INC"	"GSIGQ"	"306777"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,800"	"USD"	"n/d"	""	"Non"
"GSO SOLUTIONS INC"	"GSOSF"	"272183"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"CAD"	"n/d"	""	"Non"
